Name,AssetType,Underlying,Source,isin,code,Exchange,category, currency,googleCode,
USD per GBP,FX,FX,Yahoo,USDGBP,USDGBP,USDGBP.L,Currency,GBP,CURRENCY:USDGBP,
GBP per USD,FX,FX,Yahoo,GBPUSD,GBPUSD,GBPUSD.L,Currency,USD,CURRENCY:GBPUSD,
,FUND,EQUITY,Yahoo,GB00B41YBW71,FUQUIT,FUQUIT.L,Global Equity,GBP,MUTF_GB:FUND_EQUI_I_ANRT8N,
M&G Optimal Income Fund Sterling I Inc,FUND,BOND,Yahoo,GB00B1H05601,MGOII,MGOII.L,UK Bond,GBX,MUTF_GB:MG_OPTI_INCO_SRI2UJ,
,FUND,BOND,Yahoo,GB00BD050949,RLAAAI,RLAAAI.L,Short duration bond,GBX,LON:RLAAAI,
,FUND,BOND,Yahoo,GB00B1XFKV93,YFEMID,YFEMID.L,MEmerging Bond,GBX,LON:YFEMID,
,FUND,BOND,Yahoo,GB00B45Q9038,VVUILG,VVUILG.L,UK Inflation,GBP,MUTF_GB:VANG_UK_INFL_1YLF91E,
Amundi ETF MSCI China EUR A/I GBP,ETF,EQUITY,Google,FR0010713784,CC1,CC1.L,China Equity,GBX,LON:CC1,
Amundi ETF MSCI EM Latin America EUR A/I GBP,ETF,EQUITY,Google,FR0011020973,ALAT,ALAT.L,Latin America Equity,GBX,LON:ALAT,
Amundi ETF MSCI Emerging Markets EUR A/I GBP,ETF,EQUITY,Google,FR0010959676,AEEM,AEEM.L,Global Emerging Markets Equity,GBX,LON:AEEM,
Amundi ETF MSCI Germany A/I GBP,ETF,EQUITY,Google,FR0010655712,CG1,CG1.L,Germany Large-Cap Equity,GBX,LON:CG1,
Amundi ETF MSCI Italy A/I GBP,ETF,EQUITY,Google,FR0010655720,CI1,CI1.L,Italy Equity,GBX,LON:CI1,
Amundi ETF MSCI Nordic A/I GBP,ETF,EQUITY,Google,FR0010655738,CN1,CN1.L,Nordic Equity,GBX,LON:CN1,
Amundi ETF MSCI Spain A/I GBP,ETF,EQUITY,Google,FR0010655746,CS1,CS1.L,Spain Equity,GBX,LON:CS1,
Amundi ETF MSCI UK A/I GBP,ETF,EQUITY,Google,FR0010655761,CUK,CUK.L,UK Large-Cap Blend Equity,GBX,LON:CUK,
Boost FTSE 100 3x Short Daily ETP,ETF,EQUITY,Google,IE00B7VB3908,3UKS,3UKS.L,Trading - Leveraged/Inverse Equity,GBX,LON:3UKS,
Boost ShortDAX?3x Daily ETP GBP,ETF,EQUITY,Google,IE00B8GKPP93,3SDE,3SDE.L,Trading - Leveraged/Inverse Equity,GBX,LON:3SDE,
Boost Silver 3x Short Daily ETP GBP,ETF,COMMODITIES,Google,IE00B8JG1787,3SSI,3SSI.L,Trading - Leveraged/Inverse Commodities,GBX,LON:3SSI,
